username;password;email;firstname;lastname;city;country;cohort1
sindulfomcdougall;#2w6cXI&;sindulfomcdougall@mail.local;Sindulfo;McDougall;Foz do Jordão;BR;T03
azuilhatch;#b5J%0Ol;azuilhatch@mail.local;Azuil;Hatch;Inácio Martins;BR;T03
teodosiohewitt;7SyFi$2%;teodosiohewitt@mail.local;Teodósio;Hewitt;Ribeirão do Pinhal;BR;T03
arielhull;f2#K$xE4;arielhull@mail.local;Ariel;Hull;Lindoeste;BR;T03
yanblair;c0x#8VW%;yanblair@mail.local;Yan;Blair;Tijucas do Sul;BR;T03
ataidemcneill;D%mJ#82f;ataidemcneill@mail.local;Ataíde;McNeill;Quatro Pontes;BR;T03
indrothornton;6D$&z9oH;indrothornton@mail.local;Indro;Thornton;Renascença;BR;T04
aubrichandler;F0g$Qr7%;aubrichandler@mail.local;Aubri;Chandler;Farol;BR;T04
saulrandall;h3M6R@%j;saulrandall@mail.local;Saúl;Randall;Siqueira Campos;BR;T04
ariostopritchard;&Jt94i$H;ariostopritchard@mail.local;Ariosto;Pritchard;Amaporã;BR;T04
cedricomcgarry;$@36bPzL;cedricomcgarry@mail.local;Cedrico;McGarry;Guaraniaçu;BR;T04
enzofitzgerald;1Gw7M$@f;enzofitzgerald@mail.local;Enzo;Fitzgerald;Matinhos;BR;T04
magostanton;$aE6fO&5;magostanton@mail.local;Mago;Stanton;Santa Lúcia;BR;T04
gervasiodavis;T8I%q9&u;gervasiodavis@mail.local;Gervásio;Davis;Colorado;BR;T04
aldemarhanna;$L@Rh2x1;aldemarhanna@mail.local;Aldemar;Hanna;Xambrê;BR;T04
gentilbrown;S6T$y@r3;gentilbrown@mail.local;Gentil;Brown;Congonhinhas;BR;T04
brianpritchard;3#LjY@t7;brianpritchard@mail.local;Brian;Pritchard;Jataizinho;BR;T04
rossanofigueroa;Q$%9l5Rm;rossanofigueroa@mail.local;Rossano;Figueroa;Imbituva;BR;T04
deolindonapier;%HA&0rw3;deolindonapier@mail.local;Deolindo;Napier;Marumbi;BR;T04
lotusmcpherson;f5I3@$Oy;lotusmcpherson@mail.local;Lótus;McPherson;Planaltina do Paraná;BR;T04
ananiamacleod;SjU&0h$2;ananiamacleod@mail.local;Anania;MacLeod;Tupãssi;BR;T04
robimzimmer;8W$&0zXu;robimzimmer@mail.local;Robim;Zimmer;Mandaguaçu;BR;T05
ligiohammond;MicH#57&;ligiohammond@mail.local;Lígio;Hammond;Tamarana;BR;T05
laurindofrost;62dN$fE#;laurindofrost@mail.local;Laurindo;Frost;Indianópolis;BR;T05
liberaladair;qS@O5d&6;liberaladair@mail.local;Liberal;Adair;Itambé;BR;T05
laurianobishop;FcI@79r#;laurianobishop@mail.local;Lauriano;Bishop;Laranjeiras do Sul;BR;T05
mamedepope;@5&FqG9j;mamedepope@mail.local;Mamede;Pope;Xambrê;BR;T05
afreyune;h9o5E$P@;afreyune@mail.local;Afre;Yune;Nova Laranjeiras;BR;T05
madalenosparks;@Z3y&v1O;madalenosparks@mail.local;Madaleno;Sparks;Rio Bom;BR;T05
quirinogoode;Z&$n5Ys8;quirinogoode@mail.local;Quirino;Goode;Grandes Rios;BR;T05
lorivalconnolly;#C@De1t5;lorivalconnolly@mail.local;Lorival;Connolly;São Carlos do Ivaí;BR;T05
primocollins;U4@K$i1t;primocollins@mail.local;Primo;Collins;Foz do Jordão;BR;T05
arcelinomyrick;3PfCr@2#;arcelinomyrick@mail.local;Arcelino;Myrick;Porto Vitória;BR;T05
delmarbarr;#Yq5T@0z;delmarbarr@mail.local;Delmar;Barr;Salto do Lontra;BR;T05
alvinocrabtree;$p#h5TQ3;alvinocrabtree@mail.local;Alvino;Crabtree;Boa Esperança do Iguaçu;BR;T05
piohooper;$%SC5k9a;piohooper@mail.local;Pio;Hooper;Entre Rios do Oeste;BR;T05
deolindoroche;#Qb&A42s;deolindoroche@mail.local;Deolindo;Roche;Quatro Pontes;BR;T06
vitonielsen;&Cb0M8#p;vitonielsen@mail.local;Vito;Nielsen;Dois Vizinhos;BR;T06
rafaelomaxwell;6W1m$Rl@;rafaelomaxwell@mail.local;Rafaelo;Maxwell;Itapejara D´oeste;BR;T06
piopruitt;6U4@Vvm$;piopruitt@mail.local;Pio;Pruitt;Santa Inês;BR;T06
bonifaciosmith;#e1YS$4l;bonifaciosmith@mail.local;Bonifácio;Smith;Boa Ventura de São Roque;BR;T06
williammeadows;Mx5@Ye3&;williammeadows@mail.local;William;Meadows;Santa Inês;BR;T06
linoflanagan;uf%02A$M;linoflanagan@mail.local;Lino;Flanagan;Pranchita;BR;T06
emanuelallison;#keOH75%;emanuelallison@mail.local;Emanuel;Allison;Floraí;BR;T06
getuliooneal;z0Qq3#I&;getuliooneal@mail.local;Getúlio;O’Neal;Pinhais;BR;T06
nascimentonoble;z$I9%0oW;nascimentonoble@mail.local;Nascimento;Noble;Iretama;BR;T06
antaodawson;%vo7DQ$8;antaodawson@mail.local;Antão;Dawson;Alvorada do Sul;BR;T06
evangelistakearney;Al&k64B@;evangelistakearney@mail.local;Evangelista;Kearney;Dois Vizinhos;BR;T06
simaogarrett;%0cK3Uv@;simaogarrett@mail.local;Simão;Garrett;Cafelândia;BR;T06
ericlopez;C17j#&aF;ericlopez@mail.local;Eric;Lopez;Paulo Frontin;BR;T06
manassesmchugh;o$V#3T1b;manassesmchugh@mail.local;Manassés;McHugh;Santa Isabel do Ivaí;BR;T06
sacramentobragg;lH3v1@&P;sacramentobragg@mail.local;Sacramento;Bragg;Cruzeiro do Sul;BR;T07
assiskemp;iZ97R&$q;assiskemp@mail.local;Assis;Kemp;Ivaí;BR;T07
albanodavies;1%4U$Wfd;albanodavies@mail.local;Albano;Davies;Altamira do Paraná;BR;T07
simpliciobroussard;Jw&z4$G1;simpliciobroussard@mail.local;Simplício;Broussard;São Pedro do Ivaí;BR;T07
elzearioupton;lO19m%Y$;elzearioupton@mail.local;Elzeário;Upton;Nova Cantu;BR;T07
ludgerobain;$G4yK@3e;ludgerobain@mail.local;Ludgero;Bain;Primeiro de Maio;BR;T07
miltonmccleary;zpO02%#B;miltonmccleary@mail.local;Milton;McCleary;Ponta Grossa;BR;T07
maprilzane;05&XZx#l;maprilzane@mail.local;Mapril;Zane;Anahy;BR;T07
samaritanocooke;GmS&v54@;samaritanocooke@mail.local;Samaritano;Cooke;Borrazópolis;BR;T07
antoninorobertson;&5@XEu3q;antoninorobertson@mail.local;Antonino;Robertson;Balsa Nova;BR;T07
florentinodunn;7G@3vUd%;florentinodunn@mail.local;Florentino;Dunn;Tunas do Paraná;BR;T07
valentimburton;#M%1l5pZ;valentimburton@mail.local;Valentim;Burton;Paranapoema;BR;T07
laercioalmeida;q@D7&0sK;laercioalmeida@mail.local;Laércio;Almeida;Nova Esperança;BR;T07
betomcculloch;1tDeH@&8;betomcculloch@mail.local;Beto;McCulloch;Japurá;BR;T07
alfeudavies;Py2O7#$i;alfeudavies@mail.local;Alfeu;Davies;Coronel Domingos Soares;BR;T07
vitorioporter;&53sM#xX;vitorioporter@mail.local;Vitório;Porter;Tuneiras do Oeste;BR;T08
rolandogarner;&vF3U2e@;rolandogarner@mail.local;Rolando;Garner;Palmas;BR;T08
tonimooney;5ox3A&M$;tonimooney@mail.local;Toni;Mooney;Guaraqueçaba;BR;T08
delfinohughes;d&#2sUP3;delfinohughes@mail.local;Delfino;Hughes;Carlópolis;BR;T08
juniosharpe;%a5XzU9@;juniosharpe@mail.local;Júnio;Sharpe;Quarto Centenário;BR;T08
placidomackenzie;Hr#8$G6p;placidomackenzie@mail.local;Plácido;MacKenzie;Palmas;BR;T08
ludgeroadkins;V8$q2S#b;ludgeroadkins@mail.local;Ludgero;Adkins;Jundiaí do Sul;BR;T08
ambrosiobrowne;8A4o%z&Q;ambrosiobrowne@mail.local;Ambrósio;Browne;Nova Londrina;BR;T08
delmanozuckerberg;H3#Alw$9;delmanozuckerberg@mail.local;Delmano;Zuckerberg;Boa Ventura de São Roque;BR;T08
aquilinochristie;tH8Ru@#2;aquilinochristie@mail.local;Aquilino;Christie;Vitorino;BR;T08
aserchavez;hc%O2#E1;aserchavez@mail.local;Áser;Chavez;Ivaté;BR;T08
pascoalgoodwin;p59%vKX&;pascoalgoodwin@mail.local;Pascoal;Goodwin;Ibiporã;BR;T08
nascimentoclayton;Te@Z8#d0;nascimentoclayton@mail.local;Nascimento;Clayton;Corbélia;BR;T08
eustaciogibbs;@ej#O25P;eustaciogibbs@mail.local;Eustácio;Gibbs;Cândido de Abreu;BR;T08
rosariokenny;Ph@Am9%0;rosariokenny@mail.local;Rosário;Kenny;Santa Lúcia;BR;T08
vilatorchapman;Q1j%g5P&;vilatorchapman@mail.local;Vilator;Chapman;União da Vitória;BR;T09
darciokane;$%s5l1PK;darciokane@mail.local;Dárcio;Kane;Loanda;BR;T09
miltonallen;S$3c0zT%;miltonallen@mail.local;Mílton;Allen;Ventania;BR;T09
arisbertosullivan;X%Tkz4@9;arisbertosullivan@mail.local;Arisberto;Sullivan;Cruzmaltina;BR;T09
zairomcnally;v9e#@QO3;zairomcnally@mail.local;Zaíro;McNally;Cantagalo;BR;T09
orandinobrowne;6pN%9&Sc;orandinobrowne@mail.local;Orandino;Browne;Boa Esperança;BR;T09
idaliobarker;E0&Mj6p@;idaliobarker@mail.local;Idálio;Barker;Dois Vizinhos;BR;T09
caicocorcoran;De6&7fW@;caicocorcoran@mail.local;Caíco;Corcoran;São Manoel do Paraná;BR;T09
marcuswells;1gN%7q#R;marcuswells@mail.local;Marcus;Wells;Itaperuçu;BR;T09
otelobartlett;$6X%Thc3;otelobartlett@mail.local;Otelo;Bartlett;Nova Santa Bárbara;BR;T09
durbalinocochran;J@97Yce$;durbalinocochran@mail.local;Durbalino;Cochran;Itapejara D´oeste;BR;T09
remigiokenney;Hm1fO&0$;remigiokenney@mail.local;Remígio;Kenney;Apucarana;BR;T09
severianostephens;Sy#3uH%1;severianostephens@mail.local;Severiano;Stephens;Ampére;BR;T09
melcoburton;@7&rAD1j;melcoburton@mail.local;Melco;Burton;Iporã;BR;T09
orandinomckinnon;%j4EqH#1;orandinomckinnon@mail.local;Orandino;McKinnon;Santa Mariana;BR;T09
edermccann;C@#sq3E1;edermccann@mail.local;Eder;McCann;Saudade do Iguaçu;BR;T10
baptistaallen;3%Eu6g@K;baptistaallen@mail.local;Baptista;Allen;Pérola;BR;T10
hipolitodoherty;U$48b&eJ;hipolitodoherty@mail.local;Hipólito;Doherty;Xambrê;BR;T10
saviomccabe;k5%@B6pW;saviomccabe@mail.local;Sávio;McCabe;Astorga;BR;T10
abelardolove;k0a$L6%F;abelardolove@mail.local;Abelardo;Love;Jussara;BR;T10
teobaldocochrane;N0g9&Jo@;teobaldocochrane@mail.local;Teobaldo;Cochrane;Serranópolis do Iguaçu;BR;T10
dunioblevins;$N20neI&;dunioblevins@mail.local;Dúnio;Blevins;Pinhal de São Bento;BR;T10
fidelioslattery;P2cNk&1@;fidelioslattery@mail.local;Fidélio;Slattery;Esperança Nova;BR;T10
lorivalhickey;oQ#M70z&;lorivalhickey@mail.local;Lorival;Hickey;Indianópolis;BR;T10
benvindodillon;nMr#7V%5;benvindodillon@mail.local;Benvindo;Dillon;Realeza;BR;T10
mariliooconnor;0Zi4jN#@;mariliooconnor@mail.local;Marílio;O’Connor;Três Barras do Paraná;BR;T10
alfredohawkins;&6Da$l1W;alfredohawkins@mail.local;Alfredo;Hawkins;Jesuítas;BR;T10
lucianohenry;5@FlrQ2#;lucianohenry@mail.local;Luciano;Henry;Diamante do Norte;BR;T10
reginosuarez;6Arz&B$1;reginosuarez@mail.local;Regino;Suarez;Campo Mourão;BR;T10
patriciogonzalez;14r%@lEX;patriciogonzalez@mail.local;Patrício;Gonzalez;Goioerê;BR;T10
